㓦劃	bo4 hua4
煞車失靈	sha1 che1 shi1 ling2
煞車失靈	sha4 che1 shi1 ling2
煞是好看	sha1 shi4 hao3 kan4
煞是好看	sha4 shi4 hao3 kan4
煞費心機	sha4 fei4 xin1 ji1
煢煢孑立	qiong2 qiong2 jie2 li4
煤炭工業	mei2 tan4 gong1 ye4
煤氣工廠	mei2 qi4 gong1 chang3
煤氣公司	mei2 qi4 gong1 si1
煤礦工人	mei2 kuang4 gong1 ren2
煥然一新	huan4 ran2 yi1 xin1
煥然一新	huan4 ran2 yi4 xin1
煥然冰釋	huan4 ran2 bing1 shi4
煥發起來	huan4 fa1 qi3 lai2
照方兒抓	zhao4 fang1 er1 zhua1
照本宣科	zhao4 ben3 xuan1 ke1
照生不誤	zhao4 sheng1 bu2 wu4
照用不誤	zhao4 yong4 bu2 wu4
照吃不誤	zhao4 chi1 bu2 wu4
照如白晝	zhao4 ru2 bai2 zhou4
照此進行	zhao4 ci3 jin4 xing2
照此類推	zhao4 ci3 lei4 tui1
照抄一次	zhao4 chao1 yi2 ci4
照抄一遍	zhao4 chao1 yi2 bian4
照抄不誤	zhao4 chao1 bu2 wu4
照來照去	zhao4 lai2 zhao4 qu4
照明設備	zhao4 ming2 she4 bei4
照明器具	zhao4 ming2 qi4 ju4
照炒不誤	zhao4 chao3 bu2 wu4
照玩不誤	zhao4 wan2 bu2 wu4
照表操課	zhao4 biao3 cao1 ke4
照查不誤	zhao4 cha2 bu2 wu4
照相乾片	zhao4 xiang4 gan1 pian4
照看不誤	zhao4 kan4 bu2 wu4
照常上班	zhao4 chang2 shang4 ban1
照常上課	zhao4 chang2 shang4 ke4
照常進行	zhao4 chang2 jin4 xing2
照常營業	zhao4 chang2 ying2 ye4
照章行事	zhao4 zhang1 xing2 shi4
照章辦理	zhao4 zhang1 ban4 li3
照單全收	zhao4 dan1 quan2 shou1
照插不誤	zhao4 cha1 bu2 wu4
照道理說	zhao4 dao4 li3 shuo1
照道理講	zhao4 dao4 li3 jiang3
照算不誤	zhao4 suan4 bu2 wu4
照說不誤	zhao4 shuo1 bu2 wu4
照價收買	zhao4 jia4 shou1 mai3
照價收購	zhao4 jia4 shou1 gou4
照價徵稅	zhao4 jia4 zheng1 shui4
照價賠償	zhao4 jia4 pei2 chang2
照寫不誤	zhao4 xie3 bu2 wu4
照請不誤	zhao4 qing3 bu2 wu4
照螢映雪	zhao4 ying2 ying4 xue3
照貓畫虎	zhao4 mao1 hua4 hu3
照辦不誤	zhao4 ban4 bu2 wu4
照臨大地	zhao4 lin2 da4 di4
照簽不誤	zhao4 qian1 bu2 wu4
照關不誤	zhao4 guan1 bu2 wu4
煩言碎語	fan2 yan2 sui4 yu3
煩言碎辭	fan2 yan2 sui4 ci2
煩躁不安	fan2 zao4 bu4 an1
煩囂喧鬧	fan2 xiao1 xuan1 nao4
爺飯娘羹	ye2 fan4 niang2 geng1
爺羹娘飯	ye2 geng1 niang2 fan4
猿猴取月	yuan2 hou2 qu3 yue4
猿腸寸斷	yuan2 chang2 cun4 duan4
猿鶴沙蟲	yuan2 he4 sha1 chong2
猿鶴蟲沙	yuan2 he4 chong2 sha1
獅子會長	shi1 zi5 hui4 zhang3
獅甲國小	shi1 jia3 guo2 xiao3
瑕不掩瑜	xia2 bu4 yan3 yu2
瑕瑜互見	xia2 yu2 hu4 jian4
瑚璉之器	hu2 lian2 zhi1 qi4
瑜不掩瑕	yu2 bu4 yan3 xia2
瑜亮情結	yu2 liang4 qing2 jie2
瑜亮情節	yu2 liang4 qing2 jie2
瑞士銀行	rui4 shi4 yin2 hang2
瑞士聯邦	rui4 shi4 lian2 bang1
瑞典王國	rui4 dian3 wang2 guo2
瑞奇馬汀	rui4 qi2 ma3 ting1
瑞埔國小	rui4 pu3 guo2 xiao3
瑞氣千條	rui4 qi4 qian1 tiao2
瑞氣祥雲	rui4 qi4 xiang2 yun2
瑞豐夜市	rui4 feng1 ye4 shi4
瑞豐國中	rui4 feng1 guo2 zhong1
瑟瑟秋風	se4 se4 qiu1 feng1
瑟瑟縮縮	se4 se4 suo1 suo1
當一回事	dang1 yi1 hui2 shi4
當一回事	dang1 yi4 hui2 shi4
當仁不讓	dang1 ren2 bu4 rang4
當日沖消	dang1 ri4 chong1 xiao1
當日沖銷	dang1 ri4 chong1 xiao1
當且僅當	dang1 qie3 jin3 dang1
當代大師	dang1 dai4 da4 shi1
當用則用	dang1 yong4 ze2 yong4
當白老鼠	dang1 bai2 lao3 shu3
當耳邊風	dang1 er3 bian1 feng1
當來當去	dang1 lai2 dang1 qu4
當前之計	dang1 qian2 zhi1 ji4
當面言明	dang1 mian4 yan2 ming2
當冤大頭	dang1 yuan1 da4 tou2
當班人員	dang1 ban1 ren2 yuan2
當眾表示	dang1 zhong4 biao3 shi4
當眾表明	dang1 zhong4 biao3 ming2
當眾宣佈	dang1 zhong4 xuan1 bu4
當場出醜	dang1 chang3 chu1 chou3
當場抓到	dang1 chang3 zhua1 dao4
當場看到	dang1 chang3 kan4 dao4
當場聽到	dang1 chang3 ting1 dao4
當量濃度	dang1 liang4 nong2 du4
當頭一棒	dang1 tou2 yi1 bang4
當斷不斷	dang1 duan4 bu4 duan4
當歸素鴨	dang1 gui1 su4 ya1
當歸麵線	dang1 gui1 mian4 xian4
畸形發展	ji1 xing2 fa1 zhan3
痰火擾心	tan2 huo3 rao3 xin1
痰迷心竅	tan2 mi2 xin1 qiao4
痰熱阻肺	tan2 re4 zu3 fei4
痲痹不了	ma2 bi4 bu4 liao3
痲痺不了	ma2 bi4 bu4 liao3
痴人痴福	chi1 ren2 chi1 fu2
痴人說夢	chi1 ren2 shuo1 meng4
痴心妄想	chi1 xin1 wang4 xiang3
痴男怨女	chi1 nan2 yuan4 nv3
痴然如醉	chi1 ran2 ru2 zui4
痴痴地等	chi1 chi1 de5 deng3
痿不忘起	wei3 bu4 wang4 qi3
盟軍部隊	meng2 jun1 bu4 dui4
睚眥之私	ya2 zi4 zhi1 si1
睚眥之怨	ya2 zi4 zhi1 yuan4
睚眥之嫌	ya2 zi4 zhi1 xian2
睚眥之隙	ya2 zi4 zhi1 xi4
睚眥必報	ya2 zi4 bi4 bao4
睜一隻眼	zheng1 yi1 zhi1 yan3
睜一隻眼	zheng1 yi4 zhi1 yan3
睜大眼睛	zheng1 da4 yan3 jing1
睜不開眼	zheng1 bu4 kai1 yan3
睜眉怒目	zheng1 mei2 nu4 mu4
睜著眼睛	zheng1 zhe5 yan3 jing1
睜開眼睛	zheng1 kai1 yan3 jing1
睟面盎背	sui4 mian4 ang4 bei4
睠以佳耦	juan4 yi3 jia1 ou3
睢睢盱盱	sui1 sui1 xu1 xu1
督促檢查	du1 cu4 jian3 cha2
睥睨物表	bi4 ni4 wu4 biao3
睥睨窺覦	bi4 ni4 kui1 yu2
睦鄰政策	mu4 lin2 zheng4 ce4
睪丸扭轉	gao1 wan2 niu3 zhuan3
睹物生情	du3 wu4 sheng1 qing2
睹物思人	du3 wu4 si1 ren2
睹物思情	du3 wu4 si1 qing2
睹物傷情	du3 wu4 shang1 qing2
睹物懷人	du3 wu4 huai2 ren2
睹景傷情	du3 jing3 shang1 qing2
睹微知著	du3 wei2 zhi1 zhu4
矮了一截	ai3 le5 yi1 jie2
矮了一截	ai3 le5 yi4 jie2
矮了半截	ai3 le5 ban4 jie2
矮人一截	ai3 ren2 yi1 jie2
矮人一截	ai3 ren2 yi4 jie2
矮小精悍	ai3 xiao3 jing1 han4
矮巴溜丟	ai3 ba1 liu1 diu1
矮仔冬瓜	ai3 zi3 dong1 gua1
矮稈作物	ai3 gan3 zuo4 wu4
矮矮肥肥	ai3 ai3 fei2 fei2
矮矮胖胖	ai3 ai3 pang4 pang4
矮牆淺屋	ai3 qiang2 qian3 wu1
碁峰資訊	ji1 feng1 zi1 xun4
碌碌波波	lu4 lu4 bo1 bo1
碌碌庸才	lu4 lu4 yong1 cai2
碌碌庸流	lu4 lu4 yong1 liu2
碌碌無奇	lu4 lu4 wu2 qi2
碌碌無能	lu4 lu4 wu2 neng2
碌碌無聞	lu4 lu4 wu2 wen2
碎身粉骨	sui4 shen1 fen3 gu3
碎屍萬段	sui4 shi1 wan4 duan4
碎骨粉身	sui4 gu3 fen3 shen1
碎嘴碎舌	sui4 zui3 sui4 she2
碎瓊亂玉	sui4 qiong2 luan4 yu4
碰來撞去	peng4 lai2 zhuang4 qu4
碰頭好兒	peng4 tou2 hao3 er1
祿山之爪	lu4 shan1 zhi1 zhua3
禁止停車	jin4 zhi3 ting2 che1
禁止通行	jin4 zhi3 tong1 xing2
禁忌站臺	jin4 ji4 zhan4 tai2
禁足處分	jin4 zu2 chu3 fen4
禁治產人	jin4 zhi4 chan3 ren2
禁姦除猾	jin4 jian1 chu2 hua2
禁欲主義	jin4 yu4 zhu3 yi4
禁網疏闊	jin4 wang3 shu1 kuo4
禁慾主義	jin4 yu4 zhu3 yi4
禁暴誅亂	jin4 bao4 zhu1 luan4
禁暴靜亂	jin4 bao4 jing4 luan4
禽犢之愛	qin2 du2 zhi1 ai4
禽獸不如	qin2 shou4 bu2 ru2
禽獸不如	qin2 shou4 bu4 ru2
禽獸行為	qin2 shou4 xing2 wei2
稗官小說	bai4 guan1 xiao3 shuo1
稗官野史	bai4 guan1 ye3 shi3
稚氣未脫	zhi4 qi4 wei4 tuo1
稜稜睜睜	leng2 leng2 zheng1 zheng1
稟性忠厚	bing3 xing4 zhong1 hou4
稠人廣坐	chou2 ren2 guang3 zuo4
稠人廣眾	chou2 ren2 guang3 zhong4
窟裡拔蛇	ku1 li3 ba2 she2
窟窿眼兒	ku1 long5 yan3 er1
筧濟學家	jian3 ji4 xue2 jia1
節上生枝	jie2 shang4 sheng1 zhi1
節外生枝	jie2 wai4 sheng1 zhi1
節用厚生	jie2 yong4 hou4 sheng1
節用愛人	jie2 yong4 ai4 ren2
節用裕民	jie2 yong4 yu4 min2
節衣縮食	jie2 yi1 suo1 shi2
節足動物	jie2 zu2 dong4 wu4
節制資本	jie2 zhi4 zi1 ben3
節肢動物	jie2 zhi1 dong4 wu4
節哀順變	jie2 ai1 shun4 bian4
節奏明朗	jie2 zou4 ming2 lang3
節奏輕快	jie2 zou4 qing1 kuai4
節省下來	jie2 sheng3 xia4 lai2
節省下來	jie2 xing3 xia4 lai2
節省時間	jie2 sheng3 shi2 jian1
節省能源	jie2 sheng3 neng2 yuan2
節約用水	jie2 yue1 yong4 shui3
節約用電	jie2 yue1 yong4 dian4
節約能源	jie2 yue1 neng2 yuan2
節食縮衣	jie2 shi2 suo1 yi1
節能省碳	jie2 neng2 sheng3 tan4
節能減碳	jie2 neng2 jian3 tan4
節骨眼上	jie2 gu3 yan3 shang4
節骨眼兒	jie2 gu3 yan3 er1
節骨眼兒	jie2 gu3 yan3 er2
節骨眼兒	jie2 gu5 yan3 er1
節節上升	jie2 jie2 shang4 sheng1
節節上漲	jie2 jie2 shang4 zhang3
節節失利	jie2 jie2 shi1 li4
節節高升	jie2 jie2 gao1 sheng1
節節高漲	jie2 jie2 gao1 zhang3
節節敗退	jie2 jie2 bai4 tui4
節節勝利	jie2 jie2 sheng4 li4
節節攀高	jie2 jie2 pan1 gao1
節義廉明	jie2 yi4 lian2 ming2
節慶典禮	jie2 qing4 dian3 li3
粲花之論	can4 hua1 zhi1 lun4
粲然一笑	can4 ran2 yi1 xiao4
粲然可觀	can4 ran2 ke3 guan1
粵犬吠雪	yue4 quan3 fei4 xue3
粵式料理	yue4 shi4 liao4 li3
粵江流域	yue4 jiang1 liu2 yu4
粵漢鐵路	yue4 han4 tie3 lu4
綁手綁腳	bang3 shou3 bang3 jiao3
綁在一起	bang3 zai4 yi4 qi3
綁赴市曹	bang3 fu4 shi4 cao2
綆短汲深	geng3 duan3 ji2 shen1
綈袍之贈	ti2 pao2 zhi1 zeng4
綈袍垂愛	ti2 pao2 chui2 ai4
綑成一堆	kun3 cheng2 yi4 dui1
綑來綑去	kun3 lai2 kun3 qu4
經久不衰	jing1 jiu3 bu4 shuai1
經久耐用	jing1 jiu3 nai4 yong4
經文緯武	jing1 wen2 wei3 wu3
經世之才	jing1 shi4 zhi1 cai2
經世文學	jing1 shi4 wen2 xue2
經世致用	jing1 shi4 zhi4 yong4
經世濟民	jing1 shi4 ji4 min2
經史子集	jing1 shi3 zi3 ji2
經合會議	jing1 he2 hui4 yi4
經年久月	jing1 nian2 jiu3 yue4
經邦論道	jing1 bang1 lun4 dao4
經典之作	jing1 dian3 zhi1 zuo4
經典名句	jing1 dian3 ming2 ju4
經典作家	jing1 dian3 zuo4 jia1
經典釋文	jing1 dian3 shi4 wen2
經官動府	jing1 guan1 dong4 fu3
經武緯文	jing1 wu3 wei3 wen2
經紀人家	jing1 ji4 ren2 jia1
經紀公司	jing1 ji4 gong1 si1
經院哲學	jing1 yuan4 zhe2 xue2
經商在外	jing1 shang1 zai4 wai4
經國之才	jing1 guo2 zhi1 cai2
經國先生	jing1 guo2 xian1 sheng1
經國濟民	jing1 guo2 ji4 min2
經費不足	jing1 fei4 bu4 zu2
經費支絀	jing1 fei4 zhi1 chu4
經費有限	jing1 fei4 you3 xian4
經費自給	jing1 fei4 zi4 ji3
經貿園區	jing1 mao4 yuan2 qu1
經貿關係	jing1 mao4 guan1 xi4
經義述聞	jing1 yi4 shu4 wen2
經義雜記	jing1 yi4 za2 ji4
經過處理	jing1 guo4 chu3 li3
經達權變	jing1 da2 quan2 bian4
經筵講官	jing1 yan2 jiang3 guan1
經綸滿腹	jing1 lun2 man3 fu4
經綸濟世	jing1 lun2 ji4 shi4
經緯天下	jing1 wei3 tian1 xia4
經濟一體	jing1 ji4 yi4 ti3
經濟人權	jing1 ji4 ren2 quan2
經濟力量	jing1 ji4 li4 liang4
經濟大國	jing1 ji4 da4 guo2
經濟之才	jing1 ji4 zhi1 cai2
經濟日報	jing1 ji4 ri4 bao4
經濟主義	jing1 ji4 zhu3 yi4
經濟史觀	jing1 ji4 shi3 guan1
經濟犯罪	jing1 ji4 fan4 zui4
經濟危機	jing1 ji1 wei2 ji1
經濟成分	jing1 ji4 cheng2 fen4
經濟成本	jing1 ji4 cheng2 ben3
經濟作物	jing1 ji4 zuo4 wu4
經濟利潤	jing1 ji4 li4 run4
經濟技術	jing1 ji4 ji4 shu4
經濟改革	jing1 ji4 gai3 ge2
經濟制裁	jing1 ji4 zhi4 cai2
經濟侵略	jing1 ji4 qin1 lve4
經濟封鎖	jing1 ji4 feng1 suo3
經濟建設	jing1 ji4 jian4 she4
經濟指標	jing1 ji4 zhi3 biao1
經濟活動	jing1 ji4 huo2 dong4
經濟計畫	jing1 ji4 ji4 hua4
經濟計劃	jing1 ji4 ji4 hua4
經濟恐慌	jing1 ji4 kong3 huang1
經濟核算	jing1 ji4 he2 suan4
經濟海域	jing1 ji4 hai3 yu4
經濟特區	jing1 ji4 te4 qu1
經濟基礎	jing1 ji4 ji1 chu3
經濟專科	jing1 ji4 zhuan1 ke1
經濟部長	jing1 ji4 bu4 zhang3
經濟發展	jing1 ji4 fa1 zhan3
經濟絕交	jing1 ji4 jue2 jiao1
經濟新聞	jing1 ji4 xin1 wen2
經濟業務	jing1 ji4 ye4 wu4
經濟實惠	jing1 ji4 shi2 hui4
經濟槓桿	jing1 ji4 gang4 gan3
經濟管理	jing1 ji4 guan3 li3
經濟範疇	jing1 ji4 fan4 chou2
經濟罷工	jing1 ji4 ba4 gong1
經濟學人	jing1 ji4 xue2 ren2
經濟學者	jing1 ji4 xue2 zhe3
經濟學家	jing1 ji4 xue2 jia1
經濟蕭條	jing1 ji4 xiao1 tiao2
經濟警察	jing1 ji4 jing3 cha2
經營不善	jing1 ying2 bu2 shan4
經籍纂詁	jing1 ji2 zuan3 gu3
經驗不足	jing1 yan4 bu4 zu2
經驗之談	jing1 yan4 zhi1 tan2
經驗主義	jing1 yan4 zhu3 yi4
經驗老到	jing1 yan4 lao3 dao4
經驗法則	jing1 yan4 fa3 ze2
罪人不孥	zui4 ren2 bu4 nu2
罪上加罪	zui4 shang4 jia1 zui4
罪不可赦	zui4 bu4 ke3 she4
罪不可逭	zui4 bu4 ke3 huan4
罪不容誅	zui4 bu4 rong2 zhu1
罪以功除	zui4 yi3 gong1 chu2
罪加一等	zui4 jia1 yi1 deng3
罪有攸歸	zui4 you3 you1 gui1
罪莫大焉	zui4 mo4 da4 yan1
罪責難逃	zui4 ze2 nan2 tao2
罪惡行徑	zui4 e4 xing2 jing4
罪惡累累	zui4 e4 lei3 lei3
罪無可逭	zui4 wu2 ke3 huan4
罪該處死	zui4 gai1 chu3 si3
罪該萬死	zui4 gai1 wan4 si3
罪魁禍首	zui4 kui2 huo4 shou3
罪證不足	zui4 zheng4 bu4 zu2
罪證確鑿	zui4 zheng4 que4 zao2
罪證確鑿	zui4 zheng4 que4 zuo4
置之不理	zhi4 zhi1 bu4 li3
置之不顧	zhi4 zhi1 bu2 gu4
置之不顧	zhi4 zhi1 bu4 gu4
置之高閣	zhi4 zhi1 gao1 ge2
置之腦後	zhi4 zhi1 nao3 hou4
置水之情	zhi4 shui3 zhi1 qing2
置水之清	zhi4 shui3 zhi1 qing1
置而不問	zhi4 er2 bu4 wen4
置身局外	zhi4 shen1 ju2 wai4
置身事外	zhi4 shen1 shi4 wai4
置身其中	zhi4 shen1 qi2 zhong1
置若罔聞	zhi4 ruo4 wang3 wen2
群口鑠金	qun2 kou3 shuo4 jin1
群山環繞	qun2 shan1 huan2 rao4
群合眾力	qun2 he2 zhong4 li4
群而不黨	qun2 er2 bu4 dang3
群居動物	qun2 ju1 dong4 wu4
群治學社	qun2 zhi4 xue2 she4
群芳爭艷	qun2 fang1 zheng1 yan4
群芳競艷	qun2 fang1 jing4 yan4
群島主義	qun2 dao3 zhu3 yi4
群起而攻	qun2 qi3 er2 gong1
群起攻之	qun2 qi3 gong1 zhi1
群起攻訐	qun2 qi3 gong1 jie2
群起效尤	qun2 qi3 xiao4 you2
群情憤慨	qun2 qing2 fen4 kai3
群情激憤	qun2 qing2 ji1 fen4
群眾心理	qun2 zhong4 xin1 li3
群眾組織	qun2 zhong4 zu3 zhi1
群眾路線	qun2 zhong4 lu4 xian4
群眾運動	qun2 zhong4 yun4 dong4
群眾關係	qun2 zhong4 guan1 xi4
群眾觀點	qun2 zhong4 guan1 dian3
群策群力	qun2 ce4 qun2 li4
群賢畢至	qun2 xian2 bi4 zhi4
群謀咸同	qun2 mou2 xian2 tong2
群龍無首	qun2 long2 wu2 shou3
群雞一鶴	qun2 ji1 yi1 he4
群蟻附羶	qun2 yi3 fu4 shan1
群魔亂舞	qun2 mo2 luan4 wu3
義大世界	yi4 da4 shi4 jie4
義大利人	yi4 da4 li4 ren2
義大利文	yi4 da4 li4 wen2
義大利式	yi4 da4 li4 shi4
義大利菜	yi4 da4 li4 cai4
義大利隊	yi4 da4 li4 dui4
義大利裔	yi4 da4 li4 yi4
義大利獎	yi4 da4 li4 jiang3
義大利籍	yi4 da4 li4 ji2
義大利麵	yi4 da4 li4 mian4
義大犀牛	yi4 da4 xi1 niu2
義山恩海	yi4 shan1 en1 hai3
義不反顧	yi4 bu4 fan3 gu4
義不生財	yi4 bu4 sheng1 cai2
義不取容	yi4 bu4 qu3 rong2
義不容辭	yi4 bu4 rong2 ci2
義夫節婦	yi4 fu1 jie2 fu4
義方之訓	yi4 fang1 zhi1 xun4
義方是訓	yi4 fang1 shi4 xun4
義正詞嚴	yi4 zheng4 ci2 yan2
義正辭嚴	yi4 zheng4 ci2 yan2
義正嚴詞	yi4 zheng1 yan2 ci2
義民中學	yi4 min2 zhong1 xue2
義刑義殺	yi4 xing2 yi4 sha1
義同生死	yi4 tong2 sheng1 si3
義守大學	yi4 shou3 da4 xue2
義式料理	yi4 shi4 liao4 li3
義行可風	yi4 xing2 ke3 feng1
義形於色	yi4 xing2 yu2 se4
義勇艦隊	yi4 yong3 jian4 dui4
義勇警察	yi4 yong3 jing3 cha2
義美豆漿	yi4 mei3 dou4 jiang1
義海恩山	yi4 hai3 en1 shan1
義務勞動	yi4 wu4 lao2 dong4
義無反顧	yi4 wu2 fan3 gu4
義联集團	yi4 lian2 ji2 tuan2
義義合合	yi4 yi4 he2 he2
義憤填胸	yi4 fen4 tian2 xiong1
義憤填膺	yi4 fen4 tian2 ying1
義學國中	yi4 xue2 guo2 zhong1
義聯集團	yi4 lian2 ji2 tuan2
義斷恩絕	yi4 duan4 en1 jue2
聖女貞德	sheng4 nv3 zhen1 de2
聖女蕃茄	sheng4 nv3 fan1 qie2
聖之時者	sheng4 zhi1 shi2 zhe3
聖心女中	sheng4 xin1 nv3 zhong1
聖手仁心	sheng4 shou3 ren2 xin1
聖多明哥	sheng4 duo1 ming2 ge1
聖保羅州	sheng4 bao3 luo2 zhou1
聖保羅島	sheng4 bao3 luo2 dao3
聖哲先賢	sheng4 zhe2 xian1 xian2
聖馬力諾	sheng4 ma3 li4 nuo4
聖馬利諾	sheng4 ma3 li4 nuo4
聖堂騎士	sheng4 tang2 qi2 shi4
聖誕百合	sheng4 dan4 bai3 he2
聖誕老人	sheng4 dan4 lao3 ren2
聖誕禮物	sheng4 dan4 li3 wu4
聖嬰現象	sheng4 ying1 xian4 xiang4
聖嚴法師	sheng4 yan2 fa3 shi1
聘用人員	pin4 yong4 ren2 yuan2
肆口謾罵	si4 kou3 man2 ma4
肆口謾罵	si4 kou3 man4 ma4
肆奸植黨	si4 jian1 zhi2 dang3
肆言無忌	si4 yan2 wu2 ji4
肆虐為患	si4 nve4 wei2 huan4
肆無忌憚	si4 wu2 ji4 dan4
肆意揮霍	si4 yi4 hui1 huo4
腥風血雨	xing1 feng1 xie3 yu3
腥黑穗病	xing1 hei1 sui4 bing4
腦力勞動	nao3 li4 lao2 dong4
腦力激盪	nao3 li4 ji1 dang4
腦下垂體	nao3 xia4 chui2 ti3
腦瓜頂兒	nao3 gua1 ding3 er1
腦性麻痺	nao3 xing4 ma2 bi4
腦性痲痺	nao3 xing4 ma2 bi4
腦門兒錢	nao3 men2 er1 qian2
腦袋瓜子	nao3 dai4 gua1 zi5
腦袋瓜兒	nao3 dai4 gua1 er1
腦袋瓜兒	nao3 dai4 gua1 er2
腦袋搬家	nao3 dai4 ban1 jia1
腦滿腸肥	nao3 man3 chang2 fei2
腦壓過高	nao3 ya1 guo4 gao1
腰板脖硬	yao1 ban3 bo2 ying4
腰金衣紫	yao1 jin1 yi1 zi3
腰金拖紫	yao1 jin1 tuo1 zi3
腰金紫綬	yao1 jin1 zi3 shou4
腰粗氣豪	yao1 cu1 qi4 hao2
腰椎神經	yao1 zhui1 shen2 jing1
腰痠背痛	yao1 suan1 bei4 tong4
腰酸背疼	yao1 suan1 bei4 teng2
腰酸背痛	yao1 suan1 bei4 tong4
腰纏萬貫	yao1 chan2 wan4 guan4
腳忙手亂	jiao3 mang2 shou3 luan4
腳底下人	jiao3 di3 xia4 ren2
腳底板兒	jiao3 di3 ban3 er1
腳底板兒	jiao3 di3 ban3 er2
腳底按摩	jiao3 di3 an4 mo2
腳高步低	jiao3 gao1 bu4 di1
腳痛醫腳	jiao3 tong4 yi1 jiao3
腳跟大事	jiao3 gen1 da4 shi4
腳踏車店	jiao3 ta4 che1 dian4
腳踏車架	jiao3 ta4 che1 jia4
腳踏車道	jiao3 ta4 che1 dao4
腷腷膊膊	bi4 bi4 bo2 bo2
腸思枯竭	chang2 si1 ku1 jie2
腸枯思竭	chang2 ku1 si1 jie2
腸慌腹熱	chang2 huang1 fu4 re4
腹心之友	fu4 xin1 zhi1 you3
腹心之疾	fu4 xin1 zhi1 ji2
腹心之患	fu4 xin1 zhi1 huan4
腹式呼吸	fu4 shi4 hu1 xi1
腹有鱗甲	fu4 you3 lin2 jia3
腹足動物	fu4 zu2 dong4 wu4
腹背之毛	fu4 bei4 zhi1 mao2
腹背受敵	fu4 bei4 shou4 di2
腹側體腔	fu4 ce4 ti3 qiang1
腹笥便便	fu4 si4 bian4 bian4
腹笥甚窘	fu4 si4 shen4 jiong3
腹笥甚廣	fu4 si4 shen4 guang3
腹腔懷孕	fu4 qiang1 huai2 yun4
腹熱心煎	fu4 re4 xin1 jian1
腹熱腸荒	fu4 re4 chang2 huang1
腹膜透析	fu4 mo2 tou4 xi1
腹誹心謗	fu4 fei3 xin1 bang4
腼腆溫柔	mian3 tian3 wen1 rou2
舅舅不愛	jiu4 jiu4 bu2 ai4
舅舅不愛	jiu4 jiu4 bu4 ai4
萬人之敵	wan4 ren2 zhi1 di2
萬丈光芒	wan4 zhang4 guang1 mang2
萬丈竿頭	wan4 zhang4 gan1 tou2
萬丈紅塵	wan4 zhang4 hong2 chen2
萬丈深淵	wan4 zhang4 shen1 yuan1
萬不及一	wan4 bu4 ji2 yi1
萬不可失	wan4 bu4 ke3 shi1
萬不失一	wan4 bu4 shi1 yi1
萬不得已	wan4 bu2 de2 yi3
萬中選一	wan4 zhong1 xuan3 yi1
萬分之一	wan4 fen1 zhi1 yi1
萬分之二	wan4 fen1 zhi1 er4
萬分之五	wan4 fen1 zhi1 wu3
萬分感激	wan4 fen1 gan3 ji1
萬夫莫敵	wan4 fu1 mo4 di2
萬戶千門	wan4 hu4 qian1 men2
萬水千山	wan4 shui3 qian1 shan1
萬世一時	wan4 shi4 yi1 shi2
萬世師表	wan4 shi4 shi1 biao3
萬代一時	wan4 dai4 yi1 shi2
萬代千秋	wan4 dai4 qian1 qiu1
萬古千秋	wan4 gu3 qian1 qiu1
萬古不滅	wan4 gu3 bu4 mie4
萬古流芳	wan4 gu3 liu2 fang1
萬古留芳	wan4 gu3 liu2 fang1
萬古黴素	wan4 gu3 mei2 su4
萬用手冊	wan4 yong4 shou3 ce4
萬用字元	wan4 yong4 zi4 yuan2
萬用電表	wan4 yong4 dian4 biao3
萬目睽睽	wan4 mu4 kui2 kui2
萬全之計	wan4 quan2 zhi1 ji4
萬全之策	wan4 quan2 zhi1 ce4
萬向接頭	wan4 xiang4 jie1 tou2
萬有引力	wan4 you3 yin3 li4
萬死一生	wan4 si3 yi1 sheng1
萬死一生	wan4 si3 yi4 sheng1
萬死不辭	wan4 si3 bu2 ci2
萬死不辭	wan4 si3 bu4 ci2
萬米長跑	wan4 mi3 chang2 pao3
萬劫不復	wan4 jie2 bu2 fu4
萬劫不復	wan4 jie2 bu4 fu4
萬里之望	wan4 li3 zhi1 wang4
萬里同風	wan4 li3 tong2 feng1
萬里江山	wan4 li3 jiang1 shan1
萬里長征	wan4 li3 chang2 zheng1
萬里封侯	wan4 li3 feng1 hou2
萬里迢迢	wan4 li3 tiao2 tiao2
萬里晴空	wan4 li3 qing2 kong1
萬里無雲	wan4 li3 wu2 yun2
萬里鵬程	wan4 li3 peng2 cheng2
萬里鵬翼	wan4 li3 peng2 yi4
萬事大吉	wan4 shi4 da4 ji2
萬事如意	wan4 shi4 ru2 yi4
萬事亨通	wan4 shi4 heng1 tong1
萬事具備	wan4 shi4 ju4 bei4
萬事皆休	wan4 shi4 jie1 xiu1
萬事皆備	wan4 shi4 jie1 bei4
萬事俱備	wan4 shi4 ju4 bei4
萬兒八千	wan4 er1 ba1 qian1
萬姓統譜	wan4 xing4 tong3 pu3
萬念俱灰	wan4 nian4 ju4 hui1
萬物之靈	wan4 wu4 zhi1 ling2
萬花爭豔	wan4 hua1 zheng1 yan4
萬芳醫院	wan4 fang1 yi1 yuan4
萬金不換	wan4 jin1 bu4 huan4
萬金之軀	wan4 jin1 zhi1 qu1
萬紅千紫	wan4 hong2 qian1 zi3
萬苦千辛	wan4 ku3 qian1 xin1
萬家生佛	wan4 jia1 sheng1 fo2
萬家燈火	wan4 jia1 deng1 huo3
萬泰銀行	wan4 tai4 yin2 hang2
萬能工專	wan4 neng2 gong1 zhuan1
