㓦劃	bo4 hua4
一時糊塗	yi4 shi2 hu2 tu2
一時間	yi4 shi2 jian1
一晃	yi2 huang4
一晃	yi4 huang3
一晃眼	yi4 huang3 yan3
一暴十寒	yi2 pu4 shi2 han2
一曲千金	yi4 qu3 qian1 jin1
一曲陽關	yi4 qu3 yang2 guan1
一更	yi4 geng1
一會	yi2 hui4
一會	yi4 hui3
一會兒	yi2 hui4 er5
一會子	yi4 hui3 zi5
一會家	yi4 hui3 jia5
一朝	yi4 zhao1
一朝一夕	yi4 zhao1 yi2 xi4
一朝天子一朝臣	yi4 chao2 tian1 zi3 yi4 chao2 chen2
一朝權在手	yi4 zhao1 quan2 zai4 shou3
一朝被蛇咬	yi4 zhao1 bei4 she2 yao3
一木難扶	yi2 mu4 nan2 fu2
一木難支	yi2 mu4 nan2 zhi1
一本正經	yi4 ben3 zheng4 jing1
一架子	yi2 jia4 zi5
一根肚腸到底	yi4 gen1 du4 chang2 dao4 di3
一桿進洞	yi4 gan1 jin4 dong4
一條腸子	yi4 tiao2 chang2 zi5
一棍子打死	yi2 gun4 zi5 da3 si3
一概抹殺	yi2 gai4 mo3 sha1
一概而論	yi2 gai4 er2 lun4
一模一樣	yi4 mo2 yi2 yang4
一模一樣	yi4 mu2 yi2 yang4
一樹百穫	yi2 shu4 bo2 huo4
一機靈	yi4 ji1 ling5
一檔子	yi2 dang4 zi5
一檔子	yi4 dang3 zi5
一次全倒	yi2 ci4 quan2 dao3
一次函數	yi1 ci4 han2 shu4
一步一個腳印	yi2 bu4 yi2 ge4 jiao3 yin4
一步一踱	yi2 bu4 yi2 duo4
一氣呵成	yi2 qi4 he1 cheng2
一氧化碳中毒	yi1 yang3 hua4 tan4 zhong4 du2
一決雌雄	yi4 jue2 ci1 xiong2
一沐三捉髮	yi2 mu4 san1 zhuo1 fa3
一沐三握髮	yi2 mu4 san1 wo4 fa3
一沖性子	yi2 chong4 xing4 zi5
一泡子	yi2 pao4 zi5
一波三折	yi4 bo1 san1 zhe2
一混湯子	yi2 hun4 tang1 zi5
一溜	yi2 liu4
一溜子	yi2 liu4 zi5
一溜歪斜	yi2 liu4 wai1 xie2
一溜煙	yi2 liu4 yan1
一溜風	yi2 liu4 feng1
一滅行	yi2 mie4 xing2
一漚	yi2 ou4
一漿十餅	yi4 jiang1 shi2 bing3
一灣子	yi4 wan1 zi5
一無下落	yi4 wu2 xia4 luo4
一無所好	yi4 wu2 suo3 hao4
一無所得	yi4 wu2 suo3 de2
一無所長	yi4 wu2 suo3 chang2
一無是處	yi4 wu2 shi4 chu4
一無長物	yi4 wu2 zhang4 wu4
一爭長短	yi4 zheng1 chang2 duan3
